Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),velocity_diff,row_number
0.032128096,51.51696332,-0.177207109,30.08704948,0.0,-1.0,61.0,61.0,,1
0.049145103,51.51694825,-0.177180034,30.21793175,0.0,-1.0,64.72413345,64.72413345,0.0,2
0.049145103,51.51693924,-0.177163832,30.26858902,0.0,-1.0,64.72413345,64.72413345,0.0,3
17.93492901,51.51808482,-0.178477586,30.27021408,0.0,-1.0,68.46369906,68.46369906,0.0,4
18.84294105,51.51817146,-0.178513239,29.85616112,0.0,-1.0,68.46369906,68.46369906,0.0,5
23.999704,51.51842415,-0.178796726,30.68941498,0.0,-1.0,64.0,64.0,0.0,6
24.54957104,51.51842,-0.178792915,30.98383522,0.0,-1.0,64.0,64.0,0.0,7
26.22352564,51.51899384,-0.180672174,-10.9399147,0.0,-1.0,36.86107246,36.86107246,0.0,8
27.22356629,51.51906538,-0.180848446,-16.69791031,0.0,-1.0,23.15458638,23.15458638,0.0,9
28.22362733,51.51902766,-0.180967972,2.076442719,0.0,-1.0,22.67201587,22.67201587,0.0,10
29.2236917,51.51903927,-0.18109085,0.929775238,0.0,-1.0,24.2953547,24.2953547,0.0,11
30.22375202,51.51903877,-0.181175256,1.133449554,0.0,-1.0,24.93219109,24.93219109,0.0,12
31.22382545,51.51900604,-0.18120057,12.47463608,0.0,-1.0,23.31170963,23.31170963,0.0,13
32.22388506,51.51893861,-0.181308445,13.62862778,0.0,-1.0,20.91586136,20.91586136,0.0,14
33.22394383,51.51889158,-0.181273324,18.0781517,8.18999958,270.3515625,17.90310761,17.90310761,8.18999958,15
34.22401178,51.51889204,-0.181391313,18.07815702,8.18999958,270.3514701,17.90310761,17.90310761,0.0,16
35.22406483,51.51879952,-0.181420107,25.3123494,8.56000042,262.9686542,17.1537117,17.1537117,0.37000083999999944,17
36.22410846,51.51879029,-0.181490986,25.76626785,8.56000042,268.5936535,16.68888759,16.68888759,0.0,18
37.22416425,51.51881205,-0.181553026,26.58944944,8.880000114,275.9764629,16.19203179,16.19203179,0.31999969399999983,19
38.22420633,51.51869602,-0.181656826,26.88443079,7.670000076,262.6171017,16.53101614,16.53101614,-1.2100000379999996,20
39.22424448,51.51866818,-0.181836554,26.88760643,9.06000042,264.7264608,16.17465228,16.17465228,1.3900003439999997,21
40.22429502,51.51864579,-0.181972704,25.84732322,9.050000191,263.3202111,16.04592097,16.04592097,-0.010000228999999194,22
41.22434294,51.51863663,-0.182135127,25.29391747,9.06000042,264.3748983,16.12277823,16.12277823,0.010000228999999194,23
42.22438848,51.51863427,-0.182319454,25.04361399,10.18999958,267.5389477,16.05112452,16.05112452,1.1299991600000006,24
43.22443116,51.51866079,-0.182458285,25.06351145,10.18999958,273.5155103,16.48925545,16.48925545,0.0,25
44.2244724,51.51866448,-0.182607941,25.55301341,10.18999958,271.7576976,16.86546167,16.86546167,0.0,26
45.22451138,51.51866323,-0.182736688,25.26535412,9.81000042,268.5936394,16.80582942,16.80582942,-0.37999916000000056,27
46.22454751,51.51867594,-0.182920881,25.87534099,10.75,271.4061288,16.91110808,16.91110808,0.9399995800000003,28
47.22458303,51.51868218,-0.183087892,25.81107158,11.10999966,273.1639374,16.99954187,16.99954187,0.3599996599999997,29
48.22461677,51.51866307,-0.183225815,25.41208415,10.75,268.5936288,17.11075643,17.11075643,-0.3599996599999997,30
49.22464919,51.51868835,-0.183341963,23.52170324,10.72000027,272.4608167,17.27495316,17.27495316,-0.029999730000000113,31
50.22467947,51.51871399,-0.183447255,22.72043278,10.14999962,274.5701984,17.18986409,17.18986409,-0.5700006500000008,32
51.22470844,51.51871258,-0.183583331,21.60763981,10.14999962,272.8123857,17.52336559,17.52336559,0.0,33
52.22473657,51.51878374,-0.183645655,19.54990025,9.960000038,281.2498898,17.42443079,17.42443079,-0.18999958199999867,34
53.22476351,51.51878339,-0.183784181,19.48837613,9.510000229,277.7342687,18.26437032,18.26437032,-0.44999980900000125,35
54.22478914,51.51879466,-0.183919825,19.35379359,9.5,277.7342688,19.50972045,19.50972045,-0.010000228999999194,36
55.22481346,51.51870337,-0.184267487,29.34649125,12.65709587,264.3364041,22.54856065,22.54856065,3.157095869999999,37
56.22483706,51.5187045,-0.18451997,29.18973881,13.30104148,265.6736001,18.14820848,18.14820848,0.6439456100000012,38
57.22485971,51.51869106,-0.184704666,29.49783046,13.13353608,265.0699824,16.21877053,16.21877053,-0.16750539999999958,39
58.22488213,51.51869195,-0.184872279,29.71296548,12.78417208,266.5530153,15.21247943,15.21247943,-0.34936400000000134,40
59.22490311,51.51868197,-0.185050711,29.80670993,12.7132511,266.1963255,16.92959186,16.92959186,-0.07092097999999858,41
60.2445792,51.51865187,-0.185190633,30.00659975,12.26044972,264.3779669,17.64308217,17.64308217,-0.45280138000000036,42
61.23962963,51.51873291,-0.185195733,25.92325866,10.78286876,272.3752167,13.86166726,13.86166726,-1.477580960000001,43
62.24066472,51.51875971,-0.185292813,24.23200847,10.25026092,274.5770545,13.73709769,13.73709769,-0.5326078399999989,44
63.24596083,51.51878144,-0.185425688,23.92133179,10.12053541,276.3511252,13.57835855,13.57835855,-0.1297255100000001,45
64.24870539,51.51878539,-0.185559784,23.34846316,9.998294781,275.7652213,13.62680253,13.62680253,-0.12224062900000021,46
65.24558461,51.51877906,-0.185800346,23.07835864,11.3854329,273.2793432,13.79658212,13.79658212,1.3871381189999994,47
66.2250309,51.51880189,-0.186026189,18.58245635,12.3759271,274.6401996,13.87824532,13.87824532,0.9904942000000005,48
67.22504735,51.51881615,-0.186238078,17.2555804,12.9534333,275.5749237,13.69109176,13.69109176,0.5775062000000002,49
68.22506392,51.51881284,-0.186508761,16.57825977,14.31628455,273.65442,13.8282214,13.8282214,1.3628512500000003,50
69.24068058,51.51880398,-0.186722044,14.38444308,14.33915373,272.0905123,14.05881852,14.05881852,0.022869179999998934,51
